path,notes_list,notes_len
../dataset/grieg/grieg_album.mid,"[76, 69, 72, 61, 67, 65, 81, 71, 82, 79, 69, 82, 67, 74, 89, 67, 64, 84]",72
../dataset/grieg/grieg_brooklet.mid,"[74, 72, 59, 76, 71, 61, 66, 62, 72, 71]",40
../dataset/grieg/grieg_walzer.mid,"[64, 70, 67, 64, 64, 74, 69, 64, 63, 71, 72, 69, 64, 68, 65, 62, 69]",68
../dataset/haydn/hay_40_1.mid,"[74, 67, 70, 77, 72, 69, 83, 73, 62, 69, 59, 69, 76, 80, 76]",60
../dataset/haydn/hay_40_2.mid,"[74, 67, 66, 71, 86, 71, 77, 75, 68, 64, 75, 83, 74]",52
../dataset/haydn/haydn_43_2.mid,"[75, 74, 73, 74, 72, 68, 72, 75, 71, 73, 72, 73]",48
../dataset/haydn/haydn_33_1.mid,"[73, 68, 75, 54, 63, 66, 82, 62, 60, 67, 61, 70, 74, 83, 68, 67, 78, 74]",72
../dataset/haydn/haydn_43_3.mid,"[74, 71, 64, 70, 68, 66, 74, 76, 78, 73, 76, 69, 73, 76]",56
../dataset/haydn/haydn_35_1.mid,"[72, 77, 73, 63, 74, 83, 68, 76, 74, 81, 72, 82, 60, 85, 72]",60
../dataset/haydn/haydn_35_3.mid,"[76, 83, 69, 76, 79, 83, 81, 74, 78, 84]",40
../dataset/haydn/haydn_7_2.mid,"[76, 75, 72, 67, 75, 74, 72, 72, 81, 67, 72, 70, 75, 77, 76]",60
../dataset/haydn/haydn_33_2.mid,"[75, 76, 70, 67, 67, 71, 62, 75, 83, 68, 69, 84, 78]",52
../dataset/haydn/haydn_35_2.mid,"[57, 74, 81, 74, 64, 79, 76, 79, 57, 81, 72, 82, 74, 82, 79, 78, 77, 70, 72, 70]",80
../dataset/haydn/haydn_33_3.mid,"[69, 76, 72, 79, 74, 74, 74, 74, 77, 72, 77, 74, 79]",52
../dataset/liszt/liz_et5.mid,"[73, 86, 75, 77, 70, 92, 58, 78, 73, 95, 63, 81, 87, 70, 81, 63, 59, 60, 62, 71]",80
../dataset/liszt/liz_et1.mid,"[66, 60, 70, 50, 80, 83, 84, 83, 70, 103, 63, 46, 60, 69, 91, 65, 98, 67]",73
../dataset/liszt/liz_et4.mid,"[76, 86, 73, 86, 74, 77, 86, 74, 68, 64, 68, 70, 68, 67, 65, 68, 65, 74]",72
