path,notes_list
../dataset/chopin/chp_op18.mid,"[75, 63, 77, 76, 77, 79, 73, 91, 77, 83, 73, 73, 74, 73, 79, 84, 77, 79, 74, 75, 72]"
../dataset/chopin/chpn_op23.mid,"[74, 48, 60, 66, 65, 73, 77, 83, 74, 61, 77, 80, 89, 89, 69, 60, 63, 70, 80, 67, 45, 72, 78, 67, 100, 80, 66, 62, 66, 46, 50, 79, 77, 68, 80]"
../dataset/chopin/chpn-p9.mid,"[62, 59]"
../dataset/chopin/chpn-p24.mid,"[69, 72, 78, 64, 60, 65, 98, 86, 57, 66, 69, 62, 46, 65, 66, 68, 65]"
../dataset/chopin/chpn_op35_3.mid,"[69, 62, 73, 75, 73, 72, 73, 73, 72, 80, 69]"
../dataset/chopin/chpn_op10_e01.mid,"[64, 78, 62, 65, 63, 64, 66, 64, 64, 56]"
../dataset/chopin/chpn_op25_e3.mid,"[72, 75, 57, 70, 68]"
../dataset/chopin/chpn-p15.mid,"[67, 56, 72, 62, 66]"
../dataset/chopin/chpn_op35_4.mid,"[66, 63, 48, 94, 55, 63]"
../dataset/chopin/chpn-p12.mid,"[70, 63, 63, 64, 70, 66, 65]"
../dataset/chopin/chpn_op7_1.mid,"[76, 77, 77, 77, 79, 77, 76, 69]"
../dataset/chopin/chpn-p7.mid,"[72, 73, 64, 70, 85, 70, 73]"
../dataset/chopin/chpn-p13.mid,"[67, 71, 78, 73, 58, 66, 63, 73, 66]"
../dataset/chopin/chpn-p1.mid,"[62, 71, 66, 60, 70]"
../dataset/chopin/chpn_op66.mid,"[74, 68, 69, 71, 79, 93, 70, 59, 82, 74, 92, 68, 67]"
../dataset/chopin/chpn-p2.mid,"[64, 62, 71, 69, 62, 66, 62, 59, 48, 55]"
../dataset/chopin/chpn-p6.mid,"[69, 66, 74, 66]"
../dataset/chopin/chpn_op7_2.mid,"[76, 71, 68, 76, 75, 74, 64, 70, 71]"
../dataset/chopin/chpn_op27_1.mid,"[71, 73, 73, 69, 67, 69, 69, 73, 73, 65]"
../dataset/chopin/chpn-p23.mid,"[72, 78, 67, 67, 64, 72]"
../dataset/chopin/chpn-p5.mid,"[70, 66, 67, 73, 67, 68]"
../dataset/chopin/chpn-p22.mid,"[70, 72, 70, 77, 60, 75, 67, 72, 55, 63]"
../dataset/chopin/chpn-p3.mid,"[62, 74, 69, 59, 59, 76, 81, 68, 71, 70, 72, 59, 68]"
../dataset/chopin/chpn_op33_4.mid,"[78, 69, 67, 61, 61, 76, 61, 78, 61, 67, 73, 70, 64]"
../dataset/chopin/chpn-p8.mid,"[73, 79]"
../dataset/chopin/chpn-p20.mid,"[61, 64, 60]"
../dataset/chopin/chpn_op25_e2.mid,"[74, 75, 72, 77, 82, 65, 70]"
../dataset/chopin/chpn-p10.mid,"[77, 64, 68, 64, 92, 64, 64]"
../dataset/chopin/chpn_op25_e12.mid,"[57, 68, 60, 72, 57]"
../dataset/granados/gra_esp_3.mid,"[73, 62, 62, 73, 62, 66, 65, 62, 64, 76, 70, 71, 64, 65, 65]"
../dataset/granados/gra_esp_4.mid,"[69, 72, 76, 62, 65, 73]"
../dataset/granados/gra_esp_2.mid,"[89, 76, 74, 75, 72, 72]"
../dataset/grieg/grieg_elfentanz.mid,"[73, 61, 66, 76, 77]"
../dataset/grieg/grieg_berceuse.mid,"[73, 73, 64, 76, 74, 81, 74, 68, 72, 82]"
../dataset/grieg/grieg_zwerge.mid,"[75, 62, 66, 84, 61, 74, 50, 75, 62, 74, 74]"
../dataset/grieg/grieg_once_upon_a_time.mid,"[71, 73, 62, 69, 68, 66, 54, 67, 72, 78, 76, 63, 67]"
../dataset/grieg/grieg_waechter.mid,"[67, 67, 64, 59, 60, 75, 59, 65]"
../dataset/grieg/grieg_butterfly.mid,"[74, 71, 78, 64]"
../dataset/grieg/grieg_spring.mid,"[58, 76, 66, 74, 63, 74, 67, 66, 85, 75, 66, 71]"
../dataset/grieg/grieg_voeglein.mid,"[74, 80, 74, 81, 74, 49, 58, 67, 84, 72]"
../dataset/grieg/grieg_march.mid,"[72, 67, 73, 60, 67, 67, 50, 67, 60, 55, 84, 60, 52, 50, 71, 71, 53]"
../dataset/grieg/grieg_kobold.mid,"[71, 52, 73, 49, 63, 47, 63, 69, 68, 54, 71]"
../dataset/grieg/grieg_halling.mid,"[73, 82, 87, 65, 68]"
../dataset/grieg/grieg_wedding.mid,"[67, 73, 63, 78, 47, 75, 64, 76, 51, 79, 74, 77, 71, 74, 73]"
../dataset/grieg/grieg_wanderer.mid,"[62, 71, 74]"
../dataset/grieg/grieg_album.mid,"[76, 69, 72, 61, 67, 65, 81, 71, 82, 79, 69, 82, 67, 74, 89, 67, 64, 84]"
../dataset/grieg/grieg_brooklet.mid,"[74, 72, 59, 76, 71, 61, 66, 62, 72, 71]"
