,path,notes_list,str_notes
26,../dataset/chopin/chpn-p18.mid,"[69, 60, 43, 64, 71, 70, 69, 43, 48, 61, 70, 62]",A4 C4 G2 E4 B4 A♯4 A4 G2 C3 C♯4 A♯4 D4
27,../dataset/chopin/chp_op18.mid,"[75, 63, 77, 76, 77, 79, 73, 91, 77, 83, 73, 73, 74, 73, 79, 84, 77, 79, 74, 75, 72]",D♯5 D♯4 F5 E5 F5 G5 C♯5 G6 F5 B5 C♯5 C♯5 D5 C♯5 G5 C6 F5 G5 D5 D♯5 C5
28,../dataset/chopin/chpn-p24.mid,"[69, 72, 78, 64, 60, 65, 98, 86, 57, 66, 69, 62, 46, 65, 66, 68, 65]",A4 C5 F♯5 E4 C4 F4 D7 D6 A3 F♯4 A4 D4 A♯2 F4 F♯4 G♯4 F4
29,../dataset/chopin/chpn_op35_3.mid,"[69, 62, 73, 75, 73, 72, 73, 73, 72, 80, 69]",A4 D4 C♯5 D♯5 C♯5 C5 C♯5 C♯5 C5 G♯5 A4
30,../dataset/chopin/chpn_op10_e01.mid,"[64, 78, 62, 65, 63, 64, 66, 64, 64, 56]",E4 F♯5 D4 F4 D♯4 E4 F♯4 E4 E4 G♯3
31,../dataset/chopin/chpn_op7_1.mid,"[76, 77, 77, 77, 79, 77, 76, 69]",E5 F5 F5 F5 G5 F5 E5 A4
32,../dataset/chopin/chpn-p13.mid,"[67, 71, 78, 73, 58, 66, 63, 73, 66]",G4 B4 F♯5 C♯5 A♯3 F♯4 D♯4 C♯5 F♯4
33,../dataset/chopin/chpn_op66.mid,"[74, 68, 69, 71, 79, 93, 70, 59, 82, 74, 92, 68, 67]",D5 G♯4 A4 B4 G5 A6 A♯4 B3 A♯5 D5 G♯6 G♯4 G4
34,../dataset/chopin/chpn-p2.mid,"[64, 62, 71, 69, 62, 66, 62, 59, 48, 55]",E4 D4 B4 A4 D4 F♯4 D4 B3 C3 G3
35,../dataset/chopin/chpn_op7_2.mid,"[76, 71, 68, 76, 75, 74, 64, 70, 71]",E5 B4 G♯4 E5 D♯5 D5 E4 A♯4 B4
36,../dataset/chopin/chpn_op27_1.mid,"[71, 73, 73, 69, 67, 69, 69, 73, 73, 65]",B4 C♯5 C♯5 A4 G4 A4 A4 C♯5 C♯5 F4
37,../dataset/chopin/chpn-p22.mid,"[70, 72, 70, 77, 60, 75, 67, 72, 55, 63]",A♯4 C5 A♯4 F5 C4 D♯5 G4 C5 G3 D♯4
38,../dataset/chopin/chpn-p3.mid,"[62, 74, 69, 59, 59, 76, 81, 68, 71, 70, 72, 59, 68]",D4 D5 A4 B3 B3 E5 A5 G♯4 B4 A♯4 C5 B3 G♯4
39,../dataset/chopin/chpn_op33_4.mid,"[78, 69, 67, 61, 61, 76, 61, 78, 61, 67, 73, 70, 64]",F♯5 A4 G4 C♯4 C♯4 E5 C♯4 F♯5 C♯4 G4 C♯5 A♯4 E4
40,../dataset/granados/gra_esp_3.mid,"[73, 62, 62, 73, 62, 66, 65, 62, 64, 76, 70, 71, 64, 65, 65]",C♯5 D4 D4 C♯5 D4 F♯4 F4 D4 E4 E5 A♯4 B4 E4 F4 F4
41,../dataset/grieg/grieg_berceuse.mid,"[73, 73, 64, 76, 74, 81, 74, 68, 72, 82]",C♯5 C♯5 E4 E5 D5 A5 D5 G♯4 C5 A♯5
42,../dataset/grieg/grieg_zwerge.mid,"[75, 62, 66, 84, 61, 74, 50, 75, 62, 74, 74]",D♯5 D4 F♯4 C6 C♯4 D5 D3 D♯5 D4 D5 D5
43,../dataset/grieg/grieg_once_upon_a_time.mid,"[71, 73, 62, 69, 68, 66, 54, 67, 72, 78, 76, 63, 67]",B4 C♯5 D4 A4 G♯4 F♯4 F♯3 G4 C5 F♯5 E5 D♯4 G4
